wave,targetTypes,copiesPerTarget,totalFinds,distractors,crossTheme,typeCoef,timeLimitRef,expectedClearSec
1,3,1,3,30,0,1.0,69,12.3
2,3,1,3,34,0,1.0,69,12.5
3,3,2,6,38,1,1.0,93,21.3
4,3,2,6,42,1,1.0,93,21.7
5,4,2,8,46,1,1.0,109,28.4
6,4,2,8,50,1,1.0,109,28.9
7,4,2,8,54,1,1.0,109,29.5
8,4,2,8,58,1,1.0,109,30.1
9,5,2,10,62,1,1.0,125,37.6
10,5,2,10,66,1,1.0,125,39.8
11,5,2,10,70,1,1.0,125,40.5
12,5,2,10,74,1,1.0,125,41.3
13,5,2,10,78,1,1.0,125,42.0
14,5,2,10,82,1,1.0,125,42.7
15,5,3,15,96,1,1.0,165,66.3
16,5,2,10,90,1,1.0,125,44.2
17,5,2,10,90,1,1.0,125,44.2
18,5,2,10,90,1,1.0,125,44.2
19,5,2,10,90,1,1.0,125,44.2
20,5,2,10,90,1,1.0,125,44.2
21,5,2,10,90,1,1.0,125,44.2
22,5,2,10,90,1,1.0,125,44.2
23,5,2,10,90,1,1.0,125,44.2
24,5,2,10,90,1,1.0,125,44.2
25,5,3,15,100,1,1.0,165,67.4
26,5,2,10,90,1,1.0,125,44.2
27,5,2,10,90,1,1.0,125,44.2
28,5,2,10,90,1,1.0,125,44.2
29,5,2,10,90,1,1.0,125,44.2
30,5,2,10,90,1,1.0,125,44.2
31,5,2,10,90,1,1.0,125,44.2
32,5,2,10,90,1,1.0,125,44.2
33,5,2,10,90,1,1.0,125,44.2
34,5,2,10,90,1,1.0,125,44.2
35,5,3,15,100,1,1.0,165,67.4
36,5,2,10,90,1,1.0,125,44.2
37,5,2,10,90,1,1.0,125,44.2
38,5,2,10,90,1,1.0,125,44.2
39,5,2,10,90,1,1.0,125,44.2
40,5,2,10,90,1,1.0,125,44.2
