item_id,文件,主分类,全部分类,来源节点(画布),宽,高,缺失
"item_001","items/item_001.png","乐器","乐器","容器 776(4:01840)[乐器]","500","500",""
"item_002","items/item_002.png","乐器","乐器","容器 771(4:01825)[乐器]","500","500",""
"item_003","items/item_003.png","乐器","乐器","容器 712(4:01664)[乐器]","500","500",""
"item_004","items/item_004.png","乐器","乐器","容器 779(4:01846)[乐器]","500","500",""
"item_005","items/item_005.png","乐器","乐器","容器 705(4:01649)[乐器]","500","500",""
"item_006","items/item_006.png","乐器","乐器","容器 761(4:01800)[乐器]","500","500",""
"item_007","items/item_007.png","乐器","乐器","容器 722(4:01697)[乐器]","500","500",""
"item_008","items/item_008.png","乐器","乐器","容器 736(4:01735)[乐器]","500","500",""
"item_009","items/item_009.png","乐器","乐器","容器 752(4:01781)[乐器]","500","500",""
"item_010","items/item_010.png","乐器","乐器","容器 751(4:01779)[乐器]","500","500",""
"item_011","items/item_011.png","有字的物品","有字的物品","容器 800(4:01894)[有字的物品]","500","500",""
"item_012","items/item_012.png","有字的物品","有字的物品","容器 765(4:01809)[有字的物品]","500","500",""
"item_013","items/item_013.png","有字的物品","有字的物品","容器 745(4:01758)[有字的物品]","500","500",""
"item_014","items/item_014.png","有字的物品","有字的物品","容器 762(4:01802)[有字的物品]","500","500",""
"item_015","items/item_015.png","有字的物品","有字的物品;容器","容器 786(4:01863)[有字的物品];容器 810(4:01960)[容器]","500","500",""
"item_016","items/item_016.png","有字的物品","有字的物品","容器 749(4:01775)[有字的物品]","500","500",""
"item_017","items/item_017.png","容器","容器","容器 782(4:01852)[容器]","500","500",""
"item_018","items/item_018.png","容器","容器","容器 754(4:01785)[容器]","500","500",""
"item_019","items/item_019.png","容器","容器","容器 719(4:01689)[容器]","500","500",""
"item_020","items/item_020.png","容器","容器","容器 803(4:01904)[容器]","500","500",""
"item_021","items/item_021.png","容器","容器","容器 716(4:01682)[容器]","500","500",""
"item_022","items/item_022.png","容器","容器","容器 796(4:01885)[容器]","500","500",""
"item_023","items/item_023.png","容器","容器","容器 774(4:01835)[容器]","500","500",""
"item_024","items/item_024.png","容器","容器","容器 738(4:01739)[容器]","500","500",""
"item_025","items/item_025.png","容器","容器","容器 805(4:01909)[容器]","500","500",""
"item_026","items/item_026.png","容器","容器","容器 713(4:01666)[容器]","500","500",""
"item_027","items/item_027.png","容器","容器","容器 764(4:01806)[容器]","500","500",""
"item_028","items/item_028.png","容器","容器","容器 730(4:01718)[容器]","500","500",""
"item_029","items/item_029.png","容器","容器","容器 785(4:01860)[容器]","500","500",""
"item_030","items/item_030.png","容器","容器;甜的食物;食物","容器 789(4:01869)[容器];容器 760(4:01798)[甜的食物];容器 828(8:100)[食物]","500","500",""
"item_031","items/item_031.png","容器","容器;甜的食物;植物;食物","容器 747(4:01766)[容器];容器 744(4:01756)[甜的食物];容器 767(4:01813)[植物];容器 825(8:094)[食物]","500","500",""
"item_032","items/item_032.png","容器","容器","容器 783(4:01855)[容器]","500","500",""
"item_033","items/item_033.png","容器","容器","容器 793(4:01878)[容器]","500","500",""
"item_034","items/item_034.png","容器","容器","容器 720(4:01692)[容器]","500","500",""
"item_035","items/item_035.png","容器","容器;食物","容器 809(4:01958)[容器];容器 835(8:143)[食物]","500","500",""
"item_036","items/item_036.png","容器","容器","图片(16:004)[容器]","484","499",""
"item_037","items/item_037.png","会飞的","会飞的;动物","容器 753(4:01783)[会飞的];容器 814(4:01968)[动物]","500","500",""
"item_038","items/item_038.png","会飞的","会飞的;动物","容器 788(4:01867)[会飞的];容器 813(4:01966)[动物]","500","500",""
"item_039","items/item_039.png","会飞的","会飞的","容器 802(4:01898)[会飞的]","500","500",""
"item_040","items/item_040.png","会飞的","会飞的","容器 808(4:01916)[会飞的]","500","500",""
"item_041","items/item_041.png","会飞的","会飞的","容器 772(4:01831)[会飞的]","500","500",""
"item_042","items/item_042.png","会飞的","会飞的;动物","容器 756(4:01790)[会飞的];容器 812(4:01964)[动物]","500","500",""
"item_043","items/item_043.png","会飞的","会飞的","容器 748(4:01769)[会飞的]","500","500",""
"item_044","items/item_044.png","会飞的","会飞的;会发光的;动物","容器 766(4:01811)[会飞的];容器 741(4:01746)[会发光的];容器 811(4:01962)[动物]","500","500",""
"item_045","items/item_045.png","会飞的","会飞的","容器 715(4:01676)[会飞的]","500","500",""
"item_046","items/item_046.png","会飞的","会飞的","容器 755(4:01788)[会飞的]","500","500",""
"item_047","items/item_047.png","会发光的","会发光的;有火焰","容器 806(4:01912)[会发光的];容器 815(8:018)[有火焰]","500","500",""
"item_048","items/item_048.png","会发光的","会发光的;有火焰","容器 799(4:01892)[会发光的];容器 819(8:026)[有火焰]","500","500",""
"item_049","items/item_049.png","会发光的","会发光的;有火焰","容器 725(4:01708)[会发光的];容器 818(8:024)[有火焰]","500","500",""
"item_050","items/item_050.png","会发光的","会发光的;有火焰","容器 743(4:01750)[会发光的];容器 820(8:028)[有火焰]","500","500",""
"item_051","items/item_051.png","会发光的","会发光的;有火焰","容器 721(4:01695)[会发光的];容器 816(8:020)[有火焰]","500","500",""
"item_052","items/item_052.png","会发光的","会发光的;有火焰","容器 794(4:01881)[会发光的];容器 817(8:022)[有火焰]","500","500",""
"item_053","items/item_053.png","会发光的","会发光的;坐骑/交通工具","容器 917(8:9859)[会发光的];容器 758(4:01794)[坐骑/交通工具]","500","500",""
"item_054","items/item_054.png","尖锐的","尖锐的","容器 726(4:01710)[尖锐的]","500","500",""
"item_055","items/item_055.png","尖锐的","尖锐的","容器 792(4:01876)[尖锐的]","500","500",""
"item_056","items/item_056.png","尖锐的","尖锐的","容器 727(4:01712)[尖锐的]","500","500",""
"item_057","items/item_057.png","尖锐的","尖锐的","容器 724(4:01706)[尖锐的]","500","500",""
"item_058","items/item_058.png","尖锐的","尖锐的","容器 742(4:01748)[尖锐的]","500","500",""
"item_059","items/item_059.png","尖锐的","尖锐的","容器 731(4:01721)[尖锐的]","500","500",""
"item_060","items/item_060.png","尖锐的","尖锐的","容器 735(4:01733)[尖锐的]","500","500",""
"item_061","items/item_061.png","尖锐的","尖锐的;穿戴的服饰/配饰","容器 780(4:01848)[尖锐的];容器 901(8:4863)[穿戴的服饰/配饰]","500","500",""
"item_062","items/item_062.png","尖锐的","尖锐的","容器 763(4:01804)[尖锐的]","500","500",""
